GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
FIT5171AssignmentDemo,fit5171.monash.edu,Passenger,67,61,2,2,17,24,10,14,9,13
FIT5171AssignmentDemo,fit5171.monash.edu,TicketCollection,11,2,0,0,5,1,4,1,4,1
FIT5171AssignmentDemo,fit5171.monash.edu,FlightCollection,14,2,0,0,6,1,5,1,5,1
FIT5171AssignmentDemo,fit5171.monash.edu,Main,7,0,0,0,3,0,2,0,2,0
FIT5171AssignmentDemo,fit5171.monash.edu,ChooseTicket,79,0,6,0,27,0,5,0,2,0
FIT5171AssignmentDemo,fit5171.monash.edu,Ticket,24,96,3,1,8,35,5,14,3,14
FIT5171AssignmentDemo,fit5171.monash.edu,Flight,69,36,0,0,30,13,15,4,15,4
FIT5171AssignmentDemo,fit5171.monash.edu,Airplane,35,30,0,0,16,12,8,5,8,5
FIT5171AssignmentDemo,fit5171.monash.edu,Person,34,22,0,0,10,10,5,6,5,6
FIT5171AssignmentDemo,fit5171.monash.edu,BuyTicket,300,214,13,3,89,60,11,2,3,2
